rows, columns, time to find success result, number of failures
5,5,0.0012390613555908203,19
5,5,0.003292560577392578,26
5,5,0.0012907981872558594,7
5,5,0.0011970996856689453,6
5,5,0.0007791519165039062,2
5,5,0.0015323162078857422,17
5,5,0.0033507347106933594,42
5,5,0.0007138252258300781,2
5,5,0.002239704132080078,24
5,5,0.0007848739624023438,3
5,5,0.0014464855194091797,16
5,5,0.0011508464813232422,7
5,5,0.0016264915466308594,13
5,5,0.0019044876098632812,18
5,5,0.001119375228881836,7
5,5,0.0007159709930419922,2
5,5,0.001065969467163086,7
5,5,0.0018503665924072266,19
5,5,0.0012867450714111328,11
5,5,0.0009152889251708984,5
5,5,0.002045869827270508,21
5,5,0.001859903335571289,19
5,5,0.0034623146057128906,30
5,5,0.001982450485229492,15
5,5,0.0012054443359375,9
5,5,0.0014383792877197266,11
5,5,0.0011429786682128906,6
5,5,0.0009739398956298828,7
5,5,0.0007469654083251953,1
5,5,0.0006368160247802734,1
5,5,0.001394510269165039,12
5,5,0.0014600753784179688,15
5,5,0.0020406246185302734,26
5,5,0.0013227462768554688,10
5,5,0.001443624496459961,13
5,5,0.0007524490356445312,2
5,5,0.001613616943359375,15
5,5,0.0007748603820800781,1
5,5,0.0008645057678222656,5
5,5,0.0029027462005615234,39
5,5,0.0010690689086914062,6
5,5,0.001373291015625,12
5,5,0.0011305809020996094,7
5,5,0.0007491111755371094,1
5,5,0.001336812973022461,11
5,5,0.0013966560363769531,9
5,5,0.0007843971252441406,3
5,5,0.0007181167602539062,1
5,5,0.00101470947265625,7
5,5,0.0006844997406005859,2
5,5,0.0013899803161621094,14
5,5,0.0006654262542724609,1
5,5,0.0013172626495361328,10
5,5,0.0009851455688476562,6
5,5,0.0006923675537109375,1
5,5,0.0013833045959472656,13
5,5,0.0017805099487304688,16
5,5,0.0012555122375488281,8
5,5,0.001485586166381836,12
5,5,0.0011448860168457031,9
5,5,0.0009107589721679688,3
5,5,0.0007948875427246094,3
5,5,0.0009255409240722656,5
5,5,0.0008196830749511719,2
5,5,0.0007331371307373047,1
5,5,0.0012028217315673828,9
5,5,0.00421452522277832,68
5,5,0.0008540153503417969,2
5,5,0.0012345314025878906,10
5,5,0.0013380050659179688,10
5,5,0.007238149642944336,7
5,5,0.0015919208526611328,13
5,5,0.0008647441864013672,4
5,5,0.0014719963073730469,15
5,5,0.0010771751403808594,6
5,5,0.006921291351318359,7
5,5,0.0008027553558349609,2
5,5,0.002302408218383789,28
5,5,0.0007274150848388672,1
5,5,0.0011861324310302734,10
5,5,0.0007007122039794922,1
5,5,0.0010955333709716797,9
5,5,0.0012183189392089844,8
5,5,0.0007219314575195312,1
5,5,0.0006682872772216797,1
5,5,0.0012707710266113281,13
5,5,0.0008790493011474609,4
5,5,0.002609729766845703,10
5,5,0.0012707710266113281,9
5,5,0.0008339881896972656,4
5,5,0.0008554458618164062,3
5,5,0.0007383823394775391,1
5,5,0.0008397102355957031,3
5,5,0.0006775856018066406,1
5,5,0.0008945465087890625,4
5,5,0.001538991928100586,13
5,5,0.0008056163787841797,1
5,5,0.0012242794036865234,13
5,5,0.0008063316345214844,3
5,5,0.002132892608642578,23
6,6,0.0009522438049316406,10
6,6,0.007252216339111328,96
6,6,0.0012443065643310547,6
6,6,0.001115560531616211,5
6,6,0.003421783447265625,35
6,6,0.0025930404663085938,27
6,6,0.0018253326416015625,14
6,6,0.0015459060668945312,11
6,6,0.0043489933013916016,49
6,6,0.0008289813995361328,2
6,6,0.002655029296875,29
6,6,0.0019073486328125,15
6,6,0.0014123916625976562,11
6,6,0.0012619495391845703,9
6,6,0.0031042098999023438,32
6,6,0.0010418891906738281,5
6,6,0.0020287036895751953,18
6,6,0.00481414794921875,63
6,6,0.004695892333984375,54
6,6,0.011733055114746094,170
