rows, columns, time to find success result, number of failures
5,5,0.0012664794921875,19
5,5,0.0007007122039794922,7
5,5,0.002910137176513672,23
5,5,0.0004870891571044922,3
5,5,0.0002300739288330078,1
5,5,0.003693103790283203,21
5,5,0.0010616779327392578,3
5,5,0.0017917156219482422,9
5,5,0.0016016960144042969,6
5,5,0.0011811256408691406,2
5,5,0.0008032321929931641,2
5,5,0.0006649494171142578,1
5,5,0.0007300376892089844,2
5,5,0.002731800079345703,29
5,5,0.0006499290466308594,1
5,5,0.0006783008575439453,1
5,5,0.0009720325469970703,5
5,5,0.0015149116516113281,14
5,5,0.0014100074768066406,12
5,5,0.0009076595306396484,3
5,5,0.0015244483947753906,18
5,5,0.0019116401672363281,20
5,5,0.0010976791381835938,5
5,5,0.001744985580444336,21
5,5,0.0008642673492431641,4
5,5,0.0006136894226074219,1
5,5,0.0008671283721923828,5
5,5,0.0008380413055419922,3
5,5,0.0006849765777587891,1
5,5,0.001252889633178711,12
5,5,0.001348733901977539,10
5,5,0.0009505748748779297,5
5,5,0.0011754035949707031,10
5,5,0.0015780925750732422,16
5,5,0.0006985664367675781,2
5,5,0.0012412071228027344,10
5,5,0.0006632804870605469,1
5,5,0.002368450164794922,26
5,5,0.0012798309326171875,10
5,5,0.0015175342559814453,14
5,5,0.0009996891021728516,3
5,5,0.001085042953491211,8
5,5,0.0008823871612548828,1
5,5,0.003124237060546875,43
5,5,0.0008740425109863281,3
5,5,0.0006899833679199219,1
5,5,0.0012307167053222656,8
5,5,0.0012145042419433594,8
5,5,0.0009026527404785156,2
5,5,0.0017054080963134766,9
5,5,0.001344919204711914,4
5,5,0.0012288093566894531,7
5,5,0.0011336803436279297,8
5,5,0.0008947849273681641,4
5,5,0.0008513927459716797,2
5,5,0.0013895034790039062,9
5,5,0.0010781288146972656,5
5,5,0.0008702278137207031,2
5,5,0.0016536712646484375,14
5,5,0.0020475387573242188,22
5,5,0.0018107891082763672,14
5,5,0.0011057853698730469,6
5,5,0.0017025470733642578,17
5,5,0.0008747577667236328,2
5,5,0.0013740062713623047,12
5,5,0.0011820793151855469,8
5,5,0.0009162425994873047,4
5,5,0.0008344650268554688,2
5,5,0.0011627674102783203,9
5,5,0.0008113384246826172,2
5,5,0.0020210742950439453,20
5,5,0.0019290447235107422,23
5,5,0.0016825199127197266,15
5,5,0.0024917125701904297,34
5,5,0.0018911361694335938,21
5,5,0.0014460086822509766,14
5,5,0.0007710456848144531,1
5,5,0.0011217594146728516,7
5,5,0.0012619495391845703,7
5,5,0.001192331314086914,4
5,5,0.0016322135925292969,10
5,5,0.0022809505462646484,17
5,5,0.0022346973419189453,18
5,5,0.0012025833129882812,3
5,5,0.001222848892211914,5
5,5,0.0012900829315185547,5
5,5,0.001275777816772461,9
5,5,0.0013623237609863281,11
5,5,0.0016269683837890625,13
5,5,0.0014183521270751953,12
5,5,0.0007166862487792969,1
5,5,0.0008261203765869141,4
5,5,0.0007994174957275391,1
5,5,0.0012326240539550781,9
5,5,0.0019290447235107422,21
5,5,0.0011591911315917969,7
5,5,0.0017783641815185547,22
5,5,0.0012240409851074219,10
5,5,0.0015864372253417969,14
5,5,0.0017800331115722656,21
6,6,0.0038826465606689453,57
6,6,0.0018587112426757812,17
6,6,0.003938436508178711,49
6,6,0.0011529922485351562,6
6,6,0.0018825531005859375,18
6,6,0.002438783645629883,25
6,6,0.00441431999206543,49
6,6,0.004961252212524414,66
6,6,0.0023508071899414062,23
6,6,0.004994630813598633,62
6,6,0.0034432411193847656,41
6,6,0.0027871131896972656,30
6,6,0.0022618770599365234,12
6,6,0.0011763572692871094,4
6,6,0.0014259815216064453,10
6,6,0.008955240249633789,114
6,6,0.0008709430694580078,1
6,6,0.007336854934692383,97
6,6,0.0048427581787109375,54
6,6,0.0012712478637695312,6
6,6,0.004277944564819336,51
6,6,0.007735252380371094,107
6,6,0.001918792724609375,15
6,6,0.002282381057739258,19
6,6,0.0018665790557861328,20
6,6,0.0030710697174072266,39
6,6,0.004096031188964844,51
6,6,0.0014438629150390625,8
6,6,0.009048700332641602,114
6,6,0.0023679733276367188,18
6,6,0.001024007797241211,2
6,6,0.002715587615966797,26
6,6,0.007840871810913086,96
6,6,0.0037479400634765625,43
6,6,0.0012061595916748047,7
6,6,0.009621858596801758,139
6,6,0.003250598907470703,31
6,6,0.002437591552734375,26
6,6,0.00409698486328125,51
6,6,0.0014491081237792969,8
6,6,0.0023419857025146484,22
6,6,0.0016179084777832031,12
6,6,0.0010111331939697266,4
6,6,0.0010437965393066406,5
6,6,0.005677700042724609,74
6,6,0.0020003318786621094,16
6,6,0.0016241073608398438,13
6,6,0.001804351806640625,15
6,6,0.0036590099334716797,40
6,6,0.006520986557006836,85
6,6,0.0014758110046386719,9
6,6,0.0046956539154052734,56
6,6,0.0015187263488769531,7
6,6,0.004034996032714844,51
6,6,0.0023217201232910156,18
6,6,0.006006717681884766,82
6,6,0.0023908615112304688,19
6,6,0.003211498260498047,33
